artists_name,track_name,in_apple_playlists
"SZA, Doja Cat","Kiss Me More  feat. SZA ",382
Miley Cyrus,Flowers,300
"Bebe Rexha, David Guetta","I'm Good  Blue ",291
Adele,Easy On Me,258
Taylor Swift,Anti-Hero,242
Lizzo,About Damn Time,242
OneRepublic,I Ain't Worried,241
"Ti��sto, Ava",The Motto,240
"Lost Frequencies, Calum Scott",Where Are You Now,238
"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,237
"Justin Bieber, The Kid Laroi","STAY  with Justin Bieber ",492
Harry Styles,As It Was,403
"Jack Harlow, Lil Nas X","INDUSTRY BABY  feat. Jack Harlow ",300
Olivia Rodrigo,good 4 u,259
Farruko,Pepas,252
Ed Sheeran,Shivers,234
"Justin Bieber, Daniel Caesar, Giveon","Peaches  feat. Daniel Caesar & Giveon ",231
Doja Cat,Woman,202
Olivia Rodrigo,drivers license,185
The Weeknd,Take My Breath,174
